code,term
1026401000000103,Serum pro-brain natriuretic peptide level
1031031000000109,N terminal pro-brain natriuretic peptide level
106091000000103,Plasma pro-brain natriuretic peptide level
106101000000106,Serum pro-brain natriuretic peptide level
1109321000000107,Mass concentration of N-terminal pro-B-type natriuretic peptide in plasma
1109331000000109,Mass concentration of N-terminal pro-B-type natriuretic peptide in serum
168741000000108,N terminal pro-brain natriuretic peptide level
173321000000104,N terminal pro-brain natriuretic peptide level
1911000237106,Mass concentration of N-terminal pro B-type natriuretic peptide in serum
407060002,Pro-brain natriuretic peptide
414798009,N-terminal pro-B-type natriuretic peptide
58401000237104,Mass concentration of N-terminal pro-B-type natriuretic peptide in plasma
97131000000107,Plasma pro-brain natriuretic peptide level
97141000000103,Serum pro-brain natriuretic peptide level
998421000000106,Plasma N-terminal pro B-type natriuretic peptide concentration
998431000000108,Serum N-terminal pro B-type natriuretic peptide concentration
